Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,9.78,9.88,9.7,9.87,9.758372,6502200
2018-01-03,9.88,9.9,9.83,9.85,9.738599,6150700
2018-01-04,9.87,9.91,9.8,9.82,9.708938,5512300
2018-01-05,9.82,9.85,9.7,9.84,9.728711,9898400
2018-01-08,9.85,9.86,9.77,9.85,9.738599,5204500
2018-01-09,9.77,9.84,9.76,9.82,9.708938,3755400
2018-01-10,9.71,9.76,9.69,9.71,9.600183,4087200
2018-01-11,9.66,9.77,9.63,9.76,9.649617,4995000
2018-01-12,9.86,9.99,9.85,9.98,9.867127,4508700
2018-01-16,10.32,10.56,10.32,10.51,10.391134,15075200
2018-01-17,10.84,10.95,10.78,10.92,10.796496,17806900
2018-01-18,10.82,10.9,10.68,10.68,10.559212,7158300
2018-01-19,10.96,11.0,10.88,10.93,10.806384,5729500
2018-01-22,10.91,11.0,10.83,10.96,10.836044,5560000
2018-01-23,11.17,11.26,11.07,11.09,10.964574,11239400
2018-01-24,11.08,11.09,10.93,10.99,10.865705,5948000
2018-01-25,11.13,11.15,11.01,11.11,10.984347,7345400
2018-01-26,11.07,11.22,11.07,11.22,11.093104,4278100
2018-01-29,11.15,11.15,11.03,11.09,10.964574,3892900
2018-01-30,10.91,10.98,10.79,10.87,10.747063,10226800
2018-01-31,10.95,11.15,10.88,10.98,10.855819,9722300
2018-02-01,10.69,10.79,10.57,10.78,10.65808,6182800
2018-02-02,10.34,10.39,10.19,10.3,10.18351,9928900
2018-02-05,10.2,10.41,10.07,10.07,9.95611,11245900
2018-02-06,10.12,10.56,10.09,10.55,10.430681,12319900
2018-02-07,10.44,10.5,10.33,10.34,10.223056,5396700
2018-02-08,10.39,10.43,10.0,10.02,9.906676,8987000
2018-02-09,10.09,10.17,9.81,10.13,10.015432,10202900
2018-02-12,10.15,10.25,10.06,10.21,10.094527,5093400
2018-02-13,10.17,10.23,10.11,10.18,10.064867,2573600
2018-02-14,9.89,10.26,9.89,10.2,10.08464,10359800
2018-02-15,10.42,10.46,10.3,10.41,10.292265,14290700
2018-02-16,10.07,10.21,9.98,10.15,10.035204,9155400
2018-02-20,9.88,9.96,9.83,9.93,9.817694,8608100
2018-02-21,9.96,9.99,9.83,9.85,9.738599,7282300
2018-02-22,9.85,9.91,9.76,9.85,9.738599,6281800
2018-02-23,10.0,10.06,9.96,10.03,9.916561999999999,4980900
2018-02-26,10.1,10.14,10.02,10.06,9.946223,4990700
2018-02-27,9.94,9.98,9.82,9.82,9.708938,5886400
2018-02-28,9.69,9.7,9.5,9.5,9.392557,7263900
2018-03-01,9.4,9.46,9.31,9.39,9.283800999999999,9928100
