Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,10.3,10.34,10.23,10.29,9.740628,5688000
2020-01-03,10.29,10.35,10.26,10.31,9.759561999999999,6992200
2020-01-06,10.22,10.25,10.17,10.21,9.6649,10068900
2020-01-07,10.12,10.17,10.1,10.1,9.560773,10589100
2020-01-08,10.0,10.12,9.99,10.09,9.551308,13440400
2020-01-09,10.21,10.51,10.15,10.48,9.920485000000001,28436900
2020-01-10,11.1,11.15,10.62,10.65,10.081408,30794600
2020-01-13,10.95,10.98,10.8,10.88,10.299129,13659600
2020-01-14,10.87,10.9,10.77,10.86,10.280196,15188300
2020-01-15,10.83,10.93,10.73,10.85,10.270731,11884300
2020-01-16,10.84,10.94,10.81,10.85,10.270731,8511200
2020-01-17,10.84,10.92,10.72,10.88,10.299129,6604300
2020-01-21,10.77,10.91,10.77,10.85,10.270731,15790000
2020-01-22,10.94,11.07,10.92,11.04,10.450587,22364600
2020-01-23,11.09,11.12,10.88,11.06,10.469521,27833700
2020-01-24,11.07,11.12,10.94,11.03,10.441121,21191300
2020-01-27,10.83,11.01,10.83,10.99,10.403257,13542100
2020-01-28,10.99,11.14,10.95,11.1,10.507385,15422800
2020-01-29,11.18,11.27,11.04,11.06,10.469521,19730500
2020-01-30,11.0,11.08,10.97,11.06,10.469521,10487100
2020-01-31,10.96,11.0,10.9,10.96,10.374859,24260300
2020-02-03,10.88,10.95,10.78,10.94,10.355926,11681900
2020-02-04,11.08,11.16,11.05,11.1,10.507385,7737200
2020-02-05,11.1,11.13,11.03,11.04,10.450587,10488300
2020-02-06,10.97,11.04,10.95,10.96,10.374859,16312500
2020-02-07,10.95,10.99,10.84,10.85,10.270731,8140300
2020-02-10,10.85,10.96,10.83,10.92,10.336994,4589700
2020-02-11,10.97,11.03,10.93,10.95,10.365392,6526500
2020-02-12,11.08,11.22,11.06,11.22,10.620977,9928100
2020-02-13,11.22,11.26,11.09,11.1,10.507385,9416900
2020-02-14,11.08,11.12,11.01,11.01,10.422189,5420300
2020-02-18,11.15,11.27,11.14,11.21,10.611511,8421200
2020-02-19,11.24,11.34,11.22,11.3,10.696707,7540600
2020-02-20,11.22,11.38,11.19,11.36,10.753502,11640000
2020-02-21,11.33,11.44,11.3,11.41,10.800834,10524200
2020-02-24,11.11,11.29,11.11,11.22,10.620977,11279100
2020-02-25,11.2,11.34,10.94,11.02,10.431656,20686000
2020-02-26,11.01,11.14,10.95,11.0,10.412724,16736100
2020-02-27,10.82,10.91,10.61,10.62,10.053011,23272000
2020-02-28,10.18,10.31,9.99,10.07,9.532374,21543200
2020-03-02,10.13,10.39,10.03,10.36,9.806891,16473900
2020-03-03,10.34,10.54,10.13,10.21,9.6649,12922700
2020-03-04,10.35,10.48,10.22,10.47,9.911019,12536000
2020-03-05,10.32,10.36,10.07,10.13,9.589172,12249800
2020-03-06,9.96,10.04,9.59,9.78,9.257856,15525700
2020-03-09,9.21,9.35,8.79,9.08,8.59523,12921200
2020-03-10,9.42,9.45,9.01,9.19,8.699356,21848100
2020-03-11,9.06,9.18,8.85,8.9,8.424839,24616200
2020-03-12,8.3,8.39,8.0,8.05,7.620221000000001,17213700
2020-03-13,8.6,8.64,8.0,8.38,7.932603,35410600
2020-03-16,7.35,7.87,7.24,7.37,6.976525,19661600
2020-03-17,7.4,7.93,7.12,7.87,7.449831,20011000
2020-03-18,7.1,7.53,7.08,7.35,6.957592,25345100
2020-03-19,7.32,7.35,7.03,7.13,6.749338000000001,13834300
2020-03-20,7.5,7.56,6.86,6.94,6.569481,22880400
2020-03-23,6.92,7.19,6.76,7.12,6.739872,26046500
2020-03-24,7.83,8.06,7.51,7.74,7.326771000000001,20455100
2020-03-25,7.76,8.38,7.68,8.19,7.752745,22259700
2020-03-26,8.5,9.13,8.42,9.1,8.614163000000001,29555000
2020-03-27,8.65,8.83,8.45,8.51,8.055661,23759500
2020-03-30,8.41,8.65,8.35,8.49,8.036729,13054500
2020-03-31,8.48,8.52,8.15,8.21,7.771677,20571700
2020-04-01,7.87,8.02,7.76,7.78,7.364635000000001,15617300
2020-04-02,7.8,8.02,7.74,7.91,7.487695,7323600
2020-04-03,7.8,7.81,7.46,7.56,7.156381,15539600
2020-04-06,7.86,8.28,7.8,8.25,7.809542,16003400
2020-04-07,8.67,8.77,8.35,8.38,7.932603,15033000
2020-04-08,8.41,8.52,8.19,8.48,8.027264,13721300
2020-04-09,8.55,8.68,8.47,8.52,8.065127,9988000
2020-04-13,8.5,8.55,8.32,8.5,8.046194,5684500
2020-04-14,8.59,8.74,8.48,8.67,8.207119,7582100
2020-04-15,8.28,8.46,8.25,8.33,7.885271,8004400
2020-04-16,8.3,8.32,8.09,8.22,7.781144,9811400
2020-04-17,8.45,8.59,8.39,8.58,8.121922999999999,14965900
