Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,3.75,3.78,3.74,3.76,3.700613,524800
2020-01-03,3.78,3.81,3.75,3.79,3.730139,417900
2020-01-06,3.81,3.85,3.78,3.85,3.789191,727200
2020-01-07,3.87,3.87,3.84,3.85,3.789191,1034000
2020-01-08,3.87,3.88,3.85,3.86,3.799034,908700
2020-01-09,3.85,3.87,3.82,3.85,3.789191,890800
2020-01-10,3.85,3.87,3.84,3.87,3.808876,634100
2020-01-13,3.9,3.94,3.89,3.92,3.858086,631700
2020-01-14,3.87,3.93,3.77,3.93,3.867928,2246100
2020-01-15,3.78,3.83,3.75,3.76,3.700613,1279400
2020-01-16,3.78,3.83,3.78,3.8,3.739981,685700
2020-01-17,3.83,3.85,3.8,3.83,3.769508,807200
2020-01-21,3.78,3.8,3.77,3.78,3.720297,865600
2020-01-22,3.79,3.79,3.77,3.79,3.730139,468800
2020-01-23,3.8,3.8,3.75,3.79,3.730139,594100
2020-01-24,3.78,3.8,3.77,3.8,3.753848000000001,507100
2020-01-27,3.72,3.75,3.7,3.74,3.694577,299000
2020-01-28,3.72,3.77,3.72,3.76,3.714334,663600
2020-01-29,3.74,3.78,3.74,3.76,3.714334,372100
2020-01-30,3.7,3.7,3.68,3.7,3.655062,565100
2020-01-31,3.61,3.63,3.6,3.63,3.585913,596900
2020-02-03,3.58,3.65,3.56,3.63,3.585913,813500
2020-02-04,3.65,3.71,3.65,3.7,3.655062,656200
2020-02-05,3.7,3.74,3.69,3.74,3.694577,664300
2020-02-06,3.69,3.75,3.68,3.75,3.704455,614100
2020-02-07,3.72,3.76,3.72,3.74,3.694577,492300
2020-02-10,3.72,3.74,3.7,3.72,3.674819,516900
2020-02-11,3.7,3.78,3.7,3.75,3.704455,1691600
2020-02-12,3.78,3.82,3.76,3.81,3.763726,862500
2020-02-13,3.79,3.83,3.76,3.79,3.743969,1226700
2020-02-14,3.78,3.82,3.78,3.8,3.753848000000001,723400
2020-02-18,3.76,3.81,3.76,3.8,3.753848000000001,421300
2020-02-19,3.8,3.85,3.8,3.83,3.783484,600500
2020-02-20,3.77,3.83,3.77,3.82,3.773605,858100
2020-02-21,3.85,3.85,3.8,3.81,3.763726,1269300
2020-02-24,3.74,3.78,3.71,3.71,3.664941,913800
2020-02-25,3.75,3.76,3.65,3.66,3.615548,1018200
2020-02-26,3.66,3.69,3.63,3.64,3.595791,691700
2020-02-27,3.54,3.61,3.52,3.56,3.516763,1550000
2020-02-28,3.45,3.47,3.37,3.45,3.408099,2347100
2020-03-02,3.33,3.51,3.33,3.49,3.447613,1987600
2020-03-03,3.45,3.54,3.45,3.49,3.447613,2370700
2020-03-04,3.52,3.59,3.5,3.56,3.516763,1098900
2020-03-05,3.52,3.57,3.51,3.52,3.477249,1468400
2020-03-06,3.5,3.54,3.45,3.51,3.46737,1028200
2020-03-09,3.25,3.36,3.19,3.25,3.210528,2546100
2020-03-10,3.38,3.38,3.22,3.3,3.259921,1487400
2020-03-11,3.26,3.28,3.12,3.14,3.101864,2140400
2020-03-12,2.82,2.93,2.82,2.88,2.845022,2012200
2020-03-13,3.02,3.1,2.91,3.06,3.022835,2258200
2020-03-16,2.73,2.9,2.73,2.76,2.726479,1148400
2020-03-17,2.76,2.84,2.68,2.78,2.746236,1345200
2020-03-18,2.6,2.72,2.6,2.63,2.598058,1341300
2020-03-19,2.52,2.65,2.52,2.57,2.538787,2983800
2020-03-20,2.77,2.78,2.64,2.66,2.627693,2111700
2020-03-23,2.61,2.72,2.54,2.69,2.657329,1445000
2020-03-24,2.7,2.82,2.68,2.72,2.686965,1759200
2020-03-25,2.73,2.85,2.7,2.79,2.756115,1255600
2020-03-26,2.84,3.01,2.84,3.0,2.963564,1658100
2020-03-27,2.91,3.03,2.88,2.97,2.933928,2537000
2020-03-30,2.95,3.02,2.94,3.01,2.973443,1169700
2020-03-31,3.09,3.14,3.03,3.1,3.06235,2072500
2020-04-01,2.92,3.05,2.91,3.02,2.983321,1225800
2020-04-02,3.0,3.08,2.98,3.02,2.983321,970700
2020-04-03,2.88,2.93,2.84,2.92,2.884536,769300
2020-04-06,2.96,3.06,2.95,3.06,3.022835,1544200
2020-04-07,3.05,3.2,3.05,3.09,3.052471,1634900
2020-04-08,3.09,3.17,3.09,3.13,3.091985,930400
2020-04-09,3.16,3.19,3.07,3.1,3.06235,1044200
2020-04-13,3.04,3.08,3.01,3.04,3.003078,741500
2020-04-14,3.06,3.17,3.06,3.1,3.06235,1467600
2020-04-15,3.02,3.11,2.82,3.07,3.032714,1999200
2020-04-16,3.04,3.14,3.02,3.06,3.022835,1803600
2020-04-17,3.1,3.1,2.96,3.03,2.9932,1421300
2020-04-20,2.95,3.02,2.95,2.96,2.92405,1188400
2020-04-21,2.97,2.97,2.85,2.89,2.8549,1142100
2020-04-22,2.95,2.98,2.92,2.94,2.904293,2145500
2020-04-23,2.98,3.04,2.98,3.0,2.963564,766500
2020-04-24,2.95,2.99,2.91,2.94,2.904293,551300
2020-04-27,3.0,3.03,2.99,2.99,2.953686,1110700
2020-04-28,3.02,3.04,2.98,2.99,2.953686,1352600
2020-04-29,2.93,3.21,2.93,3.16,3.121621,2446100
2020-04-30,3.3,3.4,3.25,3.29,3.250042,2180400
2020-05-01,3.23,3.23,3.11,3.19,3.151257,1198700
2020-05-04,3.2,3.24,3.17,3.21,3.171014,1022800
2020-05-05,3.19,3.24,3.09,3.12,3.082106,542700
2020-05-06,3.13,3.16,3.03,3.05,3.012957,1277600
2020-05-07,3.02,3.08,3.01,3.01,2.973443,1260400
2020-05-08,3.06,3.1,3.05,3.09,3.052471,637500
2020-05-11,3.09,3.09,3.01,3.02,2.983321,1005900
2020-05-12,3.08,3.1,3.03,3.03,2.9932,1564200
2020-05-13,3.06,3.06,2.85,2.87,2.835143,894400
2020-05-14,2.89,2.93,2.79,2.92,2.884536,1720400
2020-05-15,2.9,2.93,2.87,2.91,2.874657,671500
2020-05-18,2.95,2.96,2.9,2.93,2.894414,756600
2020-05-19,2.94,2.96,2.82,2.89,2.8549,1684800
2020-05-20,2.94,2.98,2.91,2.93,2.894414,1136900
2020-05-21,2.96,3.02,2.96,3.0,2.963564,575800
2020-05-22,2.98,2.99,2.92,2.96,2.92405,900000
2020-05-26,2.99,3.05,2.96,2.96,2.92405,1625900
2020-05-27,3.1,3.12,3.02,3.12,3.082106,1805900
2020-05-28,3.12,3.13,3.03,3.06,3.022835,1271300
2020-05-29,3.2,3.36,3.18,3.31,3.269799,2389900
2020-06-01,3.35,3.37,3.32,3.34,3.299435,848000
2020-06-02,3.37,3.39,3.35,3.39,3.348828,619400
2020-06-03,3.34,3.37,3.31,3.36,3.319192,715900
2020-06-04,3.38,3.4,3.3,3.31,3.269799,1023200
2020-06-05,3.37,3.39,3.32,3.33,3.289556,1267900
2020-06-08,3.41,3.48,3.37,3.47,3.427856,1254300
2020-06-09,3.38,3.39,3.27,3.32,3.279678,928100
2020-06-10,3.36,3.36,3.26,3.28,3.240163,745500
2020-06-11,3.23,3.23,3.12,3.12,3.082106,1473800
2020-06-12,3.11,3.18,3.08,3.15,3.111742,733000
2020-06-15,3.15,3.38,3.14,3.36,3.319192,1982200
2020-06-16,3.3,3.36,3.24,3.35,3.309313,2497800
2020-06-17,3.37,3.44,3.32,3.37,3.32907,1883900
2020-06-18,3.35,3.36,3.31,3.34,3.299435,922700
2020-06-19,3.36,3.4,3.28,3.3,3.259921,4038600
2020-06-22,3.26,3.29,3.24,3.25,3.210528,1211700
2020-06-23,3.32,3.33,3.23,3.24,3.200649,2129500
2020-06-24,3.24,3.24,3.16,3.19,3.151257,1252100
2020-06-25,3.19,3.27,3.17,3.26,3.220406,1049900
2020-06-26,3.33,3.33,3.26,3.27,3.230285,1149400
2020-06-29,3.25,3.28,3.21,3.27,3.230285,663100
2020-06-30,3.26,3.32,3.23,3.31,3.269799,744700
2020-07-01,3.28,3.29,3.24,3.26,3.220406,634400
2020-07-02,3.33,3.37,3.32,3.36,3.319192,730600
2020-07-06,3.39,3.39,3.32,3.35,3.309313,1178800
2020-07-07,3.35,3.4,3.35,3.37,3.32907,690700
2020-07-08,3.36,3.37,3.28,3.29,3.250042,970200
