Date,Open,High,Low,Close,Adj Close,Volume
2018-01-01,430.950012,436.399994,422.25,424.450012,424.450012,6807536
2018-01-02,428.850006,440.850006,422.0,439.299988,439.299988,15331261
2018-01-03,440.399994,441.399994,431.950012,433.899994,433.899994,9794953
2018-01-04,430.0,433.299988,425.75,429.950012,429.950012,8395377
2018-01-05,431.25,436.350006,429.799988,431.600006,431.600006,7021611
2018-01-08,432.0,436.200012,431.649994,433.549988,433.549988,4635214
2018-01-09,434.25,443.5,433.0,437.549988,437.549988,12629045
2018-01-10,438.0,439.299988,431.299988,433.299988,433.299988,4702579
2018-01-11,433.5,437.600006,432.899994,434.75,434.75,4564895
2018-01-12,437.0,441.450012,432.100006,437.100006,437.100006,7408870
2018-01-15,438.049988,440.049988,431.049988,432.350006,432.350006,4042775
2018-01-16,433.0,435.200012,419.5,421.899994,421.899994,5623745
2018-01-17,422.049988,424.5,410.100006,422.950012,422.950012,10204447
2018-01-18,424.0,428.299988,414.450012,418.950012,418.950012,9579830
2018-01-19,415.200012,421.950012,415.049988,418.049988,418.049988,3894062
2018-01-22,419.049988,424.399994,418.450012,421.899994,421.899994,4643782
2018-01-23,422.799988,422.799988,414.75,418.0,418.0,6185011
2018-01-24,416.0,416.25,402.649994,403.600006,403.600006,10789570
2018-01-25,403.450012,407.649994,398.0,400.299988,400.299988,16312167
2018-01-29,402.5,405.899994,398.100006,399.25,399.25,5789602
2018-01-30,400.0,402.299988,395.0,395.850006,395.850006,6963005
2018-01-31,395.5,400.950012,395.25,399.5,399.5,5111454
2018-02-01,399.899994,403.799988,390.549988,393.649994,393.649994,7259426
2018-02-02,392.0,397.399994,381.299988,383.75,383.75,10070356
2018-02-05,381.0,398.0,380.0,395.799988,395.799988,9876017
2018-02-06,363.0,379.850006,356.5,375.450012,375.450012,25294860
2018-02-07,380.399994,385.399994,375.200012,377.799988,377.799988,12706795
2018-02-08,379.899994,380.0,372.200012,374.850006,374.850006,12452396
2018-02-09,369.899994,373.200012,368.0,368.75,368.75,8816777
2018-02-12,373.399994,376.200012,370.200012,371.799988,371.799988,6002369
2018-02-14,372.899994,382.299988,370.600006,376.850006,376.850006,9623436
2018-02-15,379.799988,382.200012,373.100006,375.799988,375.799988,10225880
2018-02-16,378.0,379.399994,367.600006,370.75,370.75,8545282
2018-02-19,373.700012,374.700012,362.799988,368.75,368.75,5658765
2018-02-20,370.350006,370.899994,366.5,369.299988,369.299988,3972114
2018-02-21,372.5,372.5,362.850006,364.450012,364.450012,8640166
2018-02-22,363.0,363.0,357.5,358.5,358.5,10870704
2018-02-23,360.100006,364.600006,358.75,360.200012,360.200012,6751064
2018-02-26,362.0,373.5,362.0,372.049988,372.049988,10576794
2018-02-27,375.0,376.600006,370.350006,372.549988,372.549988,6156672
2018-02-28,370.0,373.649994,367.149994,369.899994,369.899994,8009429
2018-03-01,369.75,376.299988,369.049988,370.75,370.75,6991806
2018-03-05,368.75,368.75,350.100006,352.049988,352.049988,14665325
2018-03-06,355.149994,357.950012,345.0,346.5,346.5,8876632
2018-03-07,345.0,355.299988,343.25,347.799988,347.799988,15599393
2018-03-08,350.799988,351.899994,341.049988,345.149994,345.149994,7674221
2018-03-09,345.549988,348.700012,340.149994,341.5,341.5,5519224
2018-03-12,345.0,353.799988,340.350006,352.600006,352.600006,8238960
2018-03-13,352.600006,356.450012,350.0,353.149994,353.149994,6184241
2018-03-14,351.0,354.899994,349.600006,354.049988,354.049988,3820313
2018-03-15,354.049988,358.399994,351.100006,353.100006,353.100006,4331145
2018-03-16,352.049988,352.600006,338.399994,339.75,339.75,14205582
2018-03-19,341.200012,342.100006,332.549988,335.700012,335.700012,9391347
