Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,159.454544,160.909088,159.090912,159.945450,134.815308,9162186
2010-01-05,161.454544,163.590912,160.272720,161.463638,136.094971,14659997
2010-01-06,162.727264,164.972733,161.836365,162.699997,137.137085,20410054
2010-01-07,163.045456,163.045456,159.363632,161.163635,135.842102,10852286
2010-01-08,161.654541,161.818176,158.363632,158.899994,133.934113,20580934
2010-01-11,159.636368,160.327271,157.445450,158.072723,133.236832,18184672
2010-01-12,158.072723,158.545456,152.727264,153.227264,129.152679,22781935
2010-01-13,149.390915,153.490906,149.390915,152.845459,128.830872,31684856
2010-01-14,154.000000,156.545456,151.127274,151.872726,128.010971,33858143
2010-01-15,152.772720,154.290909,150.990906,153.172729,129.106705,19521925
2010-01-18,151.636368,157.963638,150.963638,156.972733,132.309662,22909535
2010-01-19,157.090912,159.272720,156.181824,157.363632,132.639160,20804140
2010-01-20,158.145447,160.836365,157.990906,159.627274,134.547119,27480893
2010-01-21,158.154541,158.727264,153.145447,155.036362,130.677567,33727122
2010-01-22,150.727264,154.000000,149.245453,152.854538,128.838486,32621154
2010-01-25,151.199997,152.572723,150.045456,151.054550,127.321365,15865157
2010-01-27,149.090912,150.436356,141.818176,143.145447,120.654892,38013514
2010-01-28,145.454544,146.872726,141.681824,143.281815,120.769814,56519067
2010-01-29,140.909088,152.545456,140.909088,150.972717,127.252388,59256560
2010-02-01,149.109085,154.254547,148.181824,151.963638,128.087570,28587542
2010-02-02,152.909088,153.172729,148.327271,148.909088,125.512955,29159537
2010-02-03,150.018188,153.636368,149.681824,152.627274,128.646973,18166148
2010-02-04,151.781815,154.363632,150.090912,150.690903,127.014809,18276049
2010-02-05,147.236359,147.236359,143.636368,145.118179,122.317673,27352501
2010-02-06,null,null,null,null,null,null
2010-02-08,154.545456,154.545456,142.909088,146.427277,123.421082,22972361
2010-02-09,146.545456,148.727264,143.890915,147.709091,124.501480,20874557
2010-02-10,148.727264,149.372726,144.881821,145.418182,122.570526,19253811
2010-02-11,143.654541,150.872726,143.654541,150.190903,126.593376,19596379
2010-02-15,151.272720,151.272720,147.727264,148.609085,125.260071,10649243
2010-02-16,148.545456,152.327271,148.545456,151.354538,127.574188,11282936
2010-02-17,152.727264,154.127274,151.018188,152.899994,128.876831,28238435
