Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,7.002500,7.112500,7.001250,7.095000,5.267148,11443200
2010-01-05,7.087500,7.125000,7.048750,7.122500,5.287562,8181600
2010-01-06,7.072500,7.072500,6.970000,7.013750,5.206830,11821600
2010-01-07,6.885000,6.896250,6.777500,6.800000,5.048147,20374400
2010-01-08,6.721250,6.856250,6.693750,6.817500,5.061140,11551200
2010-01-11,6.836250,6.875000,6.757500,6.853750,5.088050,14999200
2010-01-12,7.218750,7.330000,7.168750,7.206250,5.349737,34623200
2010-01-13,7.321250,7.391250,7.242500,7.320000,5.434182,14494400
2010-01-14,7.305000,7.372500,7.297500,7.343750,5.451814,10765600
2010-01-15,7.321250,7.343750,7.188750,7.242500,5.376648,14042400
2010-01-19,7.237500,7.328750,7.230000,7.315000,5.430470,8059200
2010-01-20,7.235000,7.248750,7.082500,7.137500,5.298697,13092000
2010-01-21,7.125000,7.196250,6.923750,6.981250,5.182703,16345600
2010-01-22,6.983750,6.990000,6.762500,6.763750,5.021236,15756800
2010-01-25,6.831250,6.887500,6.792500,6.812500,5.057427,10936000
2010-01-26,6.781250,6.863750,6.718750,6.757500,5.016597,10453600
2010-01-27,6.708750,6.842500,6.706250,6.803750,5.050932,12956800
2010-01-28,6.825000,6.827500,6.526250,6.542500,4.856987,22576000
2010-01-29,6.682500,6.702500,6.451250,6.488750,4.817083,19384000
2010-02-01,6.527500,6.613750,6.503750,6.607500,4.905241,9820000
2010-02-02,6.598750,6.637500,6.517500,6.633750,4.924729,9934400
2010-02-03,6.637500,6.677500,6.613750,6.650000,4.936791,13236000
2010-02-04,6.542500,6.575000,6.330000,6.336250,4.703870,19711200
2010-02-05,6.330000,6.395000,6.193750,6.366250,4.726142,21076000
2010-02-08,6.401250,6.483750,6.351250,6.390000,4.743774,14687200
2010-02-09,6.575000,6.700000,6.537500,6.657500,4.942358,20500000
2010-02-10,6.643750,6.700000,6.561250,6.638750,4.928438,13441600
2010-02-11,6.650000,6.788750,6.642500,6.783750,5.036085,14264000
2010-02-12,6.712500,6.787500,6.690000,6.753750,5.013813,15057600
2010-02-16,6.853750,6.941250,6.826250,6.936250,5.149295,11752800
2010-02-17,6.870000,6.925000,6.858750,6.925000,5.140944,11483200
2010-02-18,6.878750,6.990000,6.877500,6.978750,5.180847,11972000
2010-02-19,6.950000,7.026250,6.925000,6.998750,5.195693,12772000
2010-02-22,7.016250,7.041250,6.956250,6.990000,5.189198,9316000
2010-02-23,6.995000,7.036250,6.907500,6.940000,5.152079,10235200
2010-02-24,6.960000,7.071250,6.960000,7.058750,5.240236,10800800
2010-02-25,6.987500,7.100000,6.971250,7.098750,5.269932,12742400
2010-02-26,7.105000,7.122500,7.022500,7.112500,5.280138,10532800
2010-03-01,7.132500,7.313750,7.112500,7.292500,5.413767,12406400
2010-03-02,7.291250,7.450000,7.288750,7.385000,5.482438,14400800
2010-03-03,7.400000,7.435000,7.362500,7.380000,5.478724,10652000
2010-03-04,7.333750,7.333750,7.207500,7.273750,5.399846,17266400
2010-03-05,7.291250,7.446250,7.287500,7.445000,5.526979,11572000
2010-03-08,7.395000,7.500000,7.395000,7.483750,5.555745,9249600
2010-03-09,7.461250,7.498750,7.405000,7.435000,5.519556,14156000
2010-03-10,7.443750,7.500000,7.367500,7.476250,5.550178,9910400
2010-03-11,7.441250,7.496250,7.427500,7.496250,5.565027,8728000
2010-03-12,7.510000,7.510000,7.377500,7.390000,5.486148,11544000
2010-03-15,7.418750,7.462500,7.392500,7.438750,5.522338,12233600
2010-03-16,7.501250,7.521250,7.448750,7.515000,5.578946,7415200
2010-03-17,7.502500,7.687500,7.502500,7.642500,5.673598,14308800
2010-03-18,7.668750,7.737500,7.655000,7.721250,5.732061,13469600
2010-03-19,7.668750,7.723750,7.518750,7.587500,5.632768,12532800
2010-03-22,7.581250,7.712500,7.512500,7.698750,5.715357,10736800
2010-03-23,7.708750,7.796250,7.675000,7.790000,5.783097,7804000
2010-03-24,7.751250,7.787500,7.675000,7.677500,5.699581,8196000
2010-03-25,7.733750,7.768750,7.695000,7.705000,5.719996,9613600
2010-03-26,7.688750,7.705000,7.578750,7.615000,5.653182,9278400
2010-03-29,7.525000,7.572500,7.487500,7.537500,5.595648,10813600
2010-03-30,7.422500,7.508750,7.401250,7.466250,5.542755,15748000
2010-03-31,7.397500,7.443750,7.332500,7.351250,5.457381,13054400
2010-04-01,7.457500,7.523750,7.435000,7.522500,5.584514,15445600
2010-04-05,7.561250,7.667500,7.527500,7.635000,5.668030,8668800
2010-04-06,7.562500,7.681250,7.522500,7.641250,5.672669,9166400
2010-04-07,7.648750,7.678750,7.452500,7.482500,5.554818,11132800
2010-04-08,7.488750,7.553750,7.413750,7.538750,5.596577,10984800
2010-04-09,7.552500,7.621250,7.521250,7.620000,5.656894,7717600
2010-04-12,7.586250,7.712500,7.577500,7.678750,5.700508,17324000
2010-04-13,7.762500,7.966250,7.701250,7.881250,5.850839,40296000
2010-04-14,7.907500,7.921250,7.801250,7.850000,5.827640,16728000
2010-04-15,7.873750,7.887500,7.806250,7.832500,5.814649,12100800
2010-04-16,7.795000,7.811250,7.691250,7.747500,5.751546,23811200
